Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='cls_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 61, loss: 1.537617, train acc: 0.919483, train avg acc: 0.876149
Test 61, loss: 1.539110, test acc: 0.895057, test avg acc: 0.857471
Train 62, loss: 1.528513, train acc: 0.921824, train avg acc: 0.880301
Test 62, loss: 1.518255, test acc: 0.903971, test avg acc: 0.863000
Train 63, loss: 1.525179, train acc: 0.922740, train avg acc: 0.881501
Test 63, loss: 1.538151, test acc: 0.903971, test avg acc: 0.862419
Train 64, loss: 1.528458, train acc: 0.921213, train avg acc: 0.876884
Test 64, loss: 1.548688, test acc: 0.894652, test avg acc: 0.842227
Train 65, loss: 1.530837, train acc: 0.920908, train avg acc: 0.879201
Test 65, loss: 1.564137, test acc: 0.897893, test avg acc: 0.838837
Train 66, loss: 1.528441, train acc: 0.923351, train avg acc: 0.884940
Test 66, loss: 1.565760, test acc: 0.876823, test avg acc: 0.839680
Train 67, loss: 1.529289, train acc: 0.920704, train avg acc: 0.877482
Test 67, loss: 1.510365, test acc: 0.906402, test avg acc: 0.873814
Train 68, loss: 1.523015, train acc: 0.921722, train avg acc: 0.882554
Test 68, loss: 1.529136, test acc: 0.908023, test avg acc: 0.867919
Train 69, loss: 1.519799, train acc: 0.922842, train avg acc: 0.881946
Test 69, loss: 1.513012, test acc: 0.906402, test avg acc: 0.870494
Train 70, loss: 1.519863, train acc: 0.924776, train avg acc: 0.885920
Test 70, loss: 1.566471, test acc: 0.892220, test avg acc: 0.857459
Train 71, loss: 1.515600, train acc: 0.928033, train avg acc: 0.886723
Test 71, loss: 1.581812, test acc: 0.869530, test avg acc: 0.826395
Train 72, loss: 1.515293, train acc: 0.926608, train avg acc: 0.888118
Test 72, loss: 1.601066, test acc: 0.873177, test avg acc: 0.839099
Train 73, loss: 1.509850, train acc: 0.929967, train avg acc: 0.894325
Test 73, loss: 1.505196, test acc: 0.912075, test avg acc: 0.875709
Train 74, loss: 1.508905, train acc: 0.929967, train avg acc: 0.892213
Test 74, loss: 1.564460, test acc: 0.895462, test avg acc: 0.853145
Train 75, loss: 1.512361, train acc: 0.926710, train avg acc: 0.886998
Test 75, loss: 1.526062, test acc: 0.896272, test avg acc: 0.864017
Train 76, loss: 1.507583, train acc: 0.932716, train avg acc: 0.896112
Test 76, loss: 1.571764, test acc: 0.898298, test avg acc: 0.860134
Train 77, loss: 1.506639, train acc: 0.929153, train avg acc: 0.891161
Test 77, loss: 1.500644, test acc: 0.907212, test avg acc: 0.864093
Train 78, loss: 1.501161, train acc: 0.933734, train avg acc: 0.895867
Test 78, loss: 1.506810, test acc: 0.908023, test avg acc: 0.870884
Train 79, loss: 1.511021, train acc: 0.928033, train avg acc: 0.888669
Test 79, loss: 1.500710, test acc: 0.911669, test avg acc: 0.871122
Train 80, loss: 1.507752, train acc: 0.926914, train avg acc: 0.889599
Test 80, loss: 1.580620, test acc: 0.903160, test avg acc: 0.857157
Train 81, loss: 1.505396, train acc: 0.933327, train avg acc: 0.900331
Test 81, loss: 1.523543, test acc: 0.894652, test avg acc: 0.838384
Train 82, loss: 1.498568, train acc: 0.933734, train avg acc: 0.897150
Test 82, loss: 1.507438, test acc: 0.908833, test avg acc: 0.864965
Train 83, loss: 1.503213, train acc: 0.933225, train avg acc: 0.896160
Test 83, loss: 1.506427, test acc: 0.908023, test avg acc: 0.869047
Train 84, loss: 1.502962, train acc: 0.931800, train avg acc: 0.892967
Test 84, loss: 1.536276, test acc: 0.903971, test avg acc: 0.856355
Train 85, loss: 1.503388, train acc: 0.931596, train avg acc: 0.893509
Test 85, loss: 1.493058, test acc: 0.915721, test avg acc: 0.888267
Train 86, loss: 1.493163, train acc: 0.935261, train avg acc: 0.902006
Test 86, loss: 1.507548, test acc: 0.902755, test avg acc: 0.861512
Train 87, loss: 1.495764, train acc: 0.933123, train avg acc: 0.898560
Test 87, loss: 1.503490, test acc: 0.900729, test avg acc: 0.866506
Train 88, loss: 1.498284, train acc: 0.932410, train avg acc: 0.897710
Test 88, loss: 1.525287, test acc: 0.890194, test avg acc: 0.866674
Train 89, loss: 1.491079, train acc: 0.935464, train avg acc: 0.900488
Test 89, loss: 1.539062, test acc: 0.889384, test avg acc: 0.856285
Train 90, loss: 1.491863, train acc: 0.937704, train avg acc: 0.905697
Test 90, loss: 1.530708, test acc: 0.888574, test avg acc: 0.834023
Train 91, loss: 1.494250, train acc: 0.935159, train avg acc: 0.901141
Test 91, loss: 1.501076, test acc: 0.908428, test avg acc: 0.860012
Train 92, loss: 1.492800, train acc: 0.933937, train avg acc: 0.899091
Test 92, loss: 1.522389, test acc: 0.893841, test avg acc: 0.854105
Train 93, loss: 1.490890, train acc: 0.935464, train avg acc: 0.901461
Test 93, loss: 1.531905, test acc: 0.892220, test avg acc: 0.869965
Train 94, loss: 1.481975, train acc: 0.940147, train avg acc: 0.906424
Test 94, loss: 1.527586, test acc: 0.897893, test avg acc: 0.874320
Train 95, loss: 1.486505, train acc: 0.938620, train avg acc: 0.906816
Test 95, loss: 1.512991, test acc: 0.895867, test avg acc: 0.860930
Train 96, loss: 1.481849, train acc: 0.940248, train avg acc: 0.908705
Test 96, loss: 1.553959, test acc: 0.881686, test avg acc: 0.853000
Train 97, loss: 1.488139, train acc: 0.935871, train avg acc: 0.901779
Test 97, loss: 1.508319, test acc: 0.900324, test avg acc: 0.857180
Train 98, loss: 1.484336, train acc: 0.936584, train avg acc: 0.903028
Test 98, loss: 1.498493, test acc: 0.908428, test avg acc: 0.866128
Train 99, loss: 1.474564, train acc: 0.942182, train avg acc: 0.913031
Test 99, loss: 1.482016, test acc: 0.918558, test avg acc: 0.872622
Train 100, loss: 1.482878, train acc: 0.936279, train avg acc: 0.904166
Test 100, loss: 1.495429, test acc: 0.909238, test avg acc: 0.870791
Train 101, loss: 1.477143, train acc: 0.943811, train avg acc: 0.913756
Test 101, loss: 1.507732, test acc: 0.903971, test avg acc: 0.864093
Train 102, loss: 1.473180, train acc: 0.944931, train avg acc: 0.914136
Test 102, loss: 1.519746, test acc: 0.884522, test avg acc: 0.852669
Train 103, loss: 1.468146, train acc: 0.943404, train avg acc: 0.914174
Test 103, loss: 1.518841, test acc: 0.895057, test avg acc: 0.854762
Train 104, loss: 1.479513, train acc: 0.940961, train avg acc: 0.909405
Test 104, loss: 1.496306, test acc: 0.907212, test avg acc: 0.858459
Train 105, loss: 1.470752, train acc: 0.944320, train avg acc: 0.913993
Test 105, loss: 1.517864, test acc: 0.898703, test avg acc: 0.863715
Train 106, loss: 1.463250, train acc: 0.947577, train avg acc: 0.920420
Test 106, loss: 1.462921, test acc: 0.928282, test avg acc: 0.887663
Train 107, loss: 1.472004, train acc: 0.942793, train avg acc: 0.913727
Test 107, loss: 1.504097, test acc: 0.904781, test avg acc: 0.870343
Train 108, loss: 1.471414, train acc: 0.944727, train avg acc: 0.918010
Test 108, loss: 1.488058, test acc: 0.910049, test avg acc: 0.876471
Train 109, loss: 1.464546, train acc: 0.944829, train avg acc: 0.915463
Test 109, loss: 1.527758, test acc: 0.891005, test avg acc: 0.863012
Train 110, loss: 1.463053, train acc: 0.946661, train avg acc: 0.919077
Test 110, loss: 1.528975, test acc: 0.901135, test avg acc: 0.874424
Train 111, loss: 1.463648, train acc: 0.946661, train avg acc: 0.915705
Test 111, loss: 1.519953, test acc: 0.905186, test avg acc: 0.875762
Train 112, loss: 1.460356, train acc: 0.951140, train avg acc: 0.923688
Test 112, loss: 1.476738, test acc: 0.913695, test avg acc: 0.878128
Train 113, loss: 1.459748, train acc: 0.948392, train avg acc: 0.921553
Test 113, loss: 1.490317, test acc: 0.906402, test avg acc: 0.877448
Train 114, loss: 1.459601, train acc: 0.948697, train avg acc: 0.919979
Test 114, loss: 1.481962, test acc: 0.909238, test avg acc: 0.871797
Train 115, loss: 1.454852, train acc: 0.951140, train avg acc: 0.926526
Test 115, loss: 1.489112, test acc: 0.910049, test avg acc: 0.881971
Train 116, loss: 1.456683, train acc: 0.949715, train avg acc: 0.923659
Test 116, loss: 1.483041, test acc: 0.905592, test avg acc: 0.882366
Train 117, loss: 1.447539, train acc: 0.954906, train avg acc: 0.931549
Test 117, loss: 1.522884, test acc: 0.913695, test avg acc: 0.872587
