Namespace(batch_size=32, class_choice='airplane', dataset='shapenetpart', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='partseg_airplane', k=40, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, visu='airplane_0', visu_format='ply')
Using GPU : 0 from 1 devices
Test 56, loss: 0.847696, test acc: 0.892885, test avg acc: 0.848300, test iou: 0.789694
Train 57, loss: 0.782015, train acc: 0.949103, train avg acc: 0.941728, train iou: 0.884135
Test 57, loss: 0.842688, test acc: 0.901858, test avg acc: 0.857291, test iou: 0.791102
Train 58, loss: 0.782342, train acc: 0.948799, train avg acc: 0.941409, train iou: 0.883381
Test 58, loss: 0.862579, test acc: 0.883341, test avg acc: 0.868815, test iou: 0.773891
Train 59, loss: 0.781388, train acc: 0.949660, train avg acc: 0.942366, train iou: 0.883374
Test 59, loss: 0.828304, test acc: 0.911267, test avg acc: 0.903281, test iou: 0.827404
Train 60, loss: 0.780630, train acc: 0.950416, train avg acc: 0.943027, train iou: 0.886458
Test 60, loss: 0.817798, test acc: 0.919611, test avg acc: 0.904466, test iou: 0.832451
Train 61, loss: 0.780143, train acc: 0.950766, train avg acc: 0.943598, train iou: 0.886987
Test 61, loss: 0.899065, test acc: 0.844144, test avg acc: 0.814466, test iou: 0.740006
Train 62, loss: 0.781197, train acc: 0.949828, train avg acc: 0.942392, train iou: 0.885774
Test 62, loss: 0.826020, test acc: 0.912192, test avg acc: 0.890708, test iou: 0.820109
Train 63, loss: 0.779766, train acc: 0.950949, train avg acc: 0.943844, train iou: 0.887035
Test 63, loss: 0.854867, test acc: 0.888237, test avg acc: 0.882106, test iou: 0.795906
Train 64, loss: 0.779055, train acc: 0.951673, train avg acc: 0.944352, train iou: 0.888461
Test 64, loss: 0.822175, test acc: 0.915612, test avg acc: 0.894153, test iou: 0.816666
Train 65, loss: 0.778691, train acc: 0.952034, train avg acc: 0.945216, train iou: 0.889353
Test 65, loss: 0.826706, test acc: 0.911525, test avg acc: 0.881288, test iou: 0.813033
Train 66, loss: 0.778767, train acc: 0.951908, train avg acc: 0.944427, train iou: 0.887708
Test 66, loss: 0.819875, test acc: 0.917459, test avg acc: 0.904708, test iou: 0.830242
Train 67, loss: 0.777969, train acc: 0.952548, train avg acc: 0.945223, train iou: 0.891143
Test 67, loss: 0.829471, test acc: 0.910884, test avg acc: 0.884638, test iou: 0.810876
Train 68, loss: 0.778280, train acc: 0.952225, train avg acc: 0.945046, train iou: 0.888086
Test 68, loss: 0.838533, test acc: 0.902852, test avg acc: 0.868911, test iou: 0.806507
Train 69, loss: 0.778264, train acc: 0.952271, train avg acc: 0.945306, train iou: 0.889613
Test 69, loss: 0.832417, test acc: 0.910305, test avg acc: 0.904776, test iou: 0.811513
Train 70, loss: 0.778578, train acc: 0.951856, train avg acc: 0.944831, train iou: 0.888812
